"Total calls:","3759"
"Total drops:","0"
"Desired drop rate:","3.00 %"
"Total blocking/drop rate:","0.00"
"Desired sale rate:","0.00 %"
"Actual sale rate:","26.07"
"Average call duration:","59.55 seconds"
"Erlangs:","0.0935"
"Estimated agents fielding calls:","N/A"
"Recommended agent count:","1"

"CALLING HOUR","CALLS","SALES","TOTAL TIME","AVG TIME","DROPPED HRS","BLOCKING","ERLANGS","REC AGENTS","EST AGENTS","CALLS/AGNT","REV/CALL","REV/AGENT","TOTAL REV","TOTAL COST","MARGIN"
"2026-01-12 11am","1","1","0:01:10","0:01:10","0:00:00","0.0000","0.0194","1","1","1.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-12 12pm","2","0","0:00:55","0:00:28","0:00:00","0.0000","0.0156","1","1","2.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-12 04pm","8","0","0:04:00","0:00:30","0:00:00","0.0000","0.0667","1","1","8.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-12 05pm","1","0","0:00:38","0:00:38","0:00:00","0.0000","0.0106","1","1","1.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-12 07pm","2","0","0:00:24","0:00:12","0:00:00","0.0000","0.0067","1","1","2.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-12 08pm","2","1","0:03:24","0:01:42","0:00:00","0.0000","0.0567","1","1","2.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-12 09pm","4","0","0:00:36","0:00:09","0:00:00","0.0000","0.0100","1","1","4.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-12 10pm","1","0","0:00:42","0:00:42","0:00:00","0.0000","0.0117","1","1","1.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-13 12pm","2","0","0:01:20","0:00:40","0:00:00","0.0000","0.0222","1","1","2.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-13 02pm","4","1","0:03:08","0:00:47","0:00:00","0.0000","0.0522","1","1","4.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-13 03pm","1","0","0:00:07","0:00:07","0:00:00","0.0000","0.0019","1","1","1.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-13 05pm","1","0","0:01:35","0:01:35","0:00:00","0.0000","0.0264","1","1","1.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-13 06pm","1","0","0:00:32","0:00:32","0:00:00","0.0000","0.0089","1","1","1.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-13 07pm","10","1","0:04:50","0:00:29","0:00:00","0.0000","0.0806","1","1","10.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-13 08pm","16","3","0:12:33","0:00:47","0:00:00","0.0000","0.2089","1","1","16.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-13 09pm","1","0","0:01:38","0:01:38","0:00:00","0.0000","0.0272","1","1","1.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-13 10pm","1","1","0:01:48","0:01:48","0:00:00","0.0000","0.0300","1","1","1.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-14 08am","1","0","0:00:08","0:00:08","0:00:00","0.0000","0.0022","1","1","1.00","$0.00","$0.00","$0.00","$0.00","$0.00"
