"Total calls:","173040"
"Total drops:","9668"
"Desired drop rate:","3.00 %"
"Total blocking/drop rate:","5.59"
"Desired sale rate:","0.00 %"
"Actual sale rate:","1.49"
"Average call duration:","13.99 seconds"
"Erlangs:","1.7555"
"Estimated agents fielding calls:","5"
"Recommended agent count:","1"

"CALLING HOUR","CALLS","SALES","TOTAL TIME","AVG TIME","DROPPED HRS","BLOCKING","ERLANGS","REC AGENTS","EST AGENTS","CALLS/AGNT","REV/CALL","REV/AGENT","TOTAL REV","TOTAL COST","MARGIN"
"2026-02-05 04pm","919","15","4:23:06","0:00:17","0:04:11","0.0544","4.3397","1","8","114.88","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-05 05pm","580","5","2:05:34","0:00:13","0:02:25","0.0500","2.0944","1","5","116.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-05 06pm","160","3","0:24:36","0:00:09","0:01:15","0.0938","0.4000","1","2","80.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-05 07pm","107","16","0:43:26","0:00:24","0:00:20","0.0374","0.7133","1","3","35.67","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-05 08pm","137","2","0:14:57","0:00:07","0:00:33","0.0511","0.2664","1","2","68.50","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-05 09pm","9","2","0:06:25","0:00:43","0:00:05","0.1111","0.1075","1","1","9.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-05 10pm","2","2","0:03:41","0:01:51","0:00:00","0.0000","0.0617","1","1","2.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-06 08am","19","1","0:01:57","0:00:06","0:00:10","0.1053","0.0317","1","1","19.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-06 09am","664","25","4:10:33","0:00:23","0:03:21","0.0602","4.2422","1","8","83.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-06 10am","960","24","4:35:46","0:00:17","0:03:01","0.0375","4.5333","1","9","106.67","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-06 11am","1049","15","4:31:18","0:00:16","0:03:35","0.0419","4.6622","1","9","116.56","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-06 12pm","817","7","3:38:11","0:00:16","0:07:32","0.1114","3.6311","1","6","136.17","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-06 01pm","987","14","4:03:40","0:00:15","0:03:10","0.0385","4.1125","1","8","123.38","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-06 02pm","1162","10","4:44:22","0:00:15","0:03:56","0.0404","4.8417","1","9","129.11","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-06 03pm","936","8","3:16:45","0:00:13","0:04:30","0.0577","3.3800","1","7","133.71","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-06 04pm","795","5","3:00:26","0:00:14","0:02:27","0.0377","3.0917","1","7","113.57","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-06 05pm","463","2","1:27:14","0:00:11","0:01:33","0.0410","1.4147","1","5","92.60","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-06 06pm","240","4","0:42:12","0:00:11","0:00:47","0.0417","0.7333","1","3","80.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-06 07pm","83","4","0:17:43","0:00:13","0:00:50","0.1205","0.2997","1","2","41.50","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-06 08pm","18","9","0:33:30","0:01:52","0:00:00","0.0000","0.5600","1","1","18.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-06 09pm","6","0","0:04:56","0:00:49","0:00:00","0.0000","0.0817","1","1","6.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-06 10pm","8","0","0:03:38","0:00:27","0:00:00","0.0000","0.0600","1","1","8.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-07 11am","1","1","0:02:13","0:02:13","0:00:00","0.0000","0.0369","1","1","1.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-07 12pm","2","0","0:02:06","0:01:03","0:00:00","0.0000","0.0350","1","1","2.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-07 01pm","3","0","0:01:00","0:00:20","0:00:00","0.0000","0.0167","1","1","3.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-07 02pm","3","1","0:03:14","0:01:05","0:00:00","0.0000","0.0542","1","1","3.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-07 03pm","18","0","0:04:09","0:00:14","0:00:00","0.0000","0.0700","1","1","18.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-07 04pm","3","0","0:00:10","0:00:03","0:00:00","0.0000","0.0025","1","1","3.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-07 05pm","8","0","0:04:57","0:00:37","0:00:00","0.0000","0.0822","1","1","8.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-07 06pm","6","1","0:04:28","0:00:45","0:00:00","0.0000","0.0750","1","1","6.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-07 07pm","19","7","0:22:26","0:01:11","0:00:00","0.0000","0.3747","1","1","19.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-07 08pm","7","3","0:05:36","0:00:48","0:00:00","0.0000","0.0933","1","1","7.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-07 09pm","13","5","0:09:32","0:00:44","0:00:00","0.0000","0.1589","1","1","13.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-07 10pm","1","0","0:00:29","0:00:29","0:00:00","0.0000","0.0081","1","1","1.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-08 12pm","3","1","0:02:24","0:00:48","0:00:00","0.0000","0.0400","1","1","3.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-08 01pm","14","3","0:07:10","0:00:31","0:00:00","0.0000","0.1206","1","1","14.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-08 02pm","3","2","0:04:39","0:01:33","0:00:00","0.0000","0.0775","1","1","3.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-08 03pm","4","0","0:01:11","0:00:18","0:00:00","0.0000","0.0200","1","1","4.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-08 04pm","4","1","0:02:09","0:00:32","0:00:00","0.0000","0.0356","1","1","4.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-08 06pm","15","5","0:09:21","0:00:37","0:00:00","0.0000","0.1542","1","1","15.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-08 07pm","5","0","0:01:19","0:00:16","0:00:00","0.0000","0.0222","1","1","5.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-08 08pm","37","10","0:29:18","0:00:48","0:00:00","0.0000","0.4933","1","1","37.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-08 09pm","7","2","0:04:20","0:00:37","0:00:00","0.0000","0.0719","1","1","7.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-08 10pm","2","0","0:01:48","0:00:54","0:00:00","0.0000","0.0300","1","1","2.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-09 08am","37","1","0:11:18","0:00:18","0:00:10","0.0541","0.1850","1","2","18.50","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-09 09am","996","12","4:26:38","0:00:16","0:03:24","0.0422","4.4267","1","9","110.67","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-09 10am","1051","14","4:36:25","0:00:16","0:03:31","0.0400","4.6711","1","9","116.78","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-09 11am","1127","14","5:08:38","0:00:16","0:02:37","0.0275","5.0089","1","10","112.70","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-09 12pm","606","12","3:31:51","0:00:21","0:09:56","0.1964","3.5350","1","5","121.20","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-09 01pm","551","14","3:57:29","0:00:26","0:03:30","0.0762","3.9794","1","7","78.71","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-09 02pm","1023","10","4:11:21","0:00:15","0:03:56","0.0411","4.2625","1","8","127.88","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-09 03pm","768","10","3:28:45","0:00:16","0:02:28","0.0339","3.4133","1","8","96.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-09 04pm","857","16","4:14:34","0:00:18","0:03:35","0.0513","4.2850","1","8","107.12","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-09 05pm","494","9","1:52:41","0:00:14","0:01:15","0.0304","1.9211","1","6","82.33","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-09 06pm","48","4","0:14:51","0:00:19","0:00:05","0.0208","0.2533","1","3","16.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-09 07pm","65","6","0:25:11","0:00:23","0:00:00","0.0000","0.4153","1","1","65.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-09 08pm","10","6","0:16:32","0:01:39","0:00:00","0.0000","0.2750","1","1","10.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-09 09pm","7","3","0:05:48","0:00:50","0:00:00","0.0000","0.0972","1","1","7.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-09 10pm","1","0","0:00:32","0:00:32","0:00:00","0.0000","0.0089","1","1","1.00","$0.00","$0.00","$0.00","$0.00","$0.00"
